image_id,path,relative_path,generator,subset_name,split,class_name,content_id,content_label,is_real,y_ai
img_c429cc2dec1ec373,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00000.png,ai/281_biggan_00000.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_4b9285a38c5f9404,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00001.png,ai/281_biggan_00001.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_6b66a33f59efecea,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00002.png,ai/281_biggan_00002.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_516f97fb24215ba9,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00004.png,ai/281_biggan_00004.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_b0dae84b71c78468,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00005.png,ai/281_biggan_00005.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_b5c78e736505409e,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00006.png,ai/281_biggan_00006.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_f0e877539a815048,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00007.png,ai/281_biggan_00007.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_c16f8c5de94c25d0,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00008.png,ai/281_biggan_00008.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_c19b0ea52e4437fa,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00010.png,ai/281_biggan_00010.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
img_9f70aa4029eb5a63,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/281_biggan_00011.png,ai/281_biggan_00011.png,BigGAN,biggan_midjourney_cat4_train,train,ai,281,tabby,0,1
