image_id,path,relative_path,generator,subset_name,split,class_name,content_id,content_label,is_real,y_ai
img_99750ec53b35c7c0,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00000.png,ai/114_biggan_00000.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_c0aacdc302b75723,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00001.png,ai/114_biggan_00001.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_352b0b2f2415e399,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00002.png,ai/114_biggan_00002.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_c295e48b71877b6e,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00004.png,ai/114_biggan_00004.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_2a8cddc25ea810de,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00005.png,ai/114_biggan_00005.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_64ad32c6c2d4d592,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00006.png,ai/114_biggan_00006.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_1c74fa0d9453239e,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00007.png,ai/114_biggan_00007.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_5bc1e8a731129568,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00008.png,ai/114_biggan_00008.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_5b49c28753098dc4,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00010.png,ai/114_biggan_00010.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_8164106892eea181,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00011.png,ai/114_biggan_00011.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_77f648057d9b5284,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00012.png,ai/114_biggan_00012.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_c51b5e8899de2f65,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00013.png,ai/114_biggan_00013.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_7cc6f841ab71d600,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00014.png,ai/114_biggan_00014.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_6cbc83327cf21ad7,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00016.png,ai/114_biggan_00016.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_9d99ea0599ad6d08,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00017.png,ai/114_biggan_00017.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
img_ce32ff77e6ad3f5c,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/114_biggan_00018.png,ai/114_biggan_00018.png,BigGAN,biggan_midjourney_common4_train,train,ai,114,slug,0,1
