image_id,path,relative_path,generator,subset_name,split,class_name,content_id,is_real,y_ai
img_b58784e07f2a8d30,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_0.png,ai/114_midjourney_0.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_6c2c6491f83585a2,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_1.png,ai/114_midjourney_1.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_dfea7e17d63244d9,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_10.png,ai/114_midjourney_10.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_cc9df89116d72148,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_101.png,ai/114_midjourney_101.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_a99d7f70adc0d961,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_102.png,ai/114_midjourney_102.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_7bd5ad40fbdbf639,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_103.png,ai/114_midjourney_103.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_4ff3395ee3ceb6fb,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_105.png,ai/114_midjourney_105.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_6bb2d7409226e8de,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_106.png,ai/114_midjourney_106.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_cd0666074b7180fe,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_107.png,ai/114_midjourney_107.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_16d5fdd0f4c6e36d,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_109.png,ai/114_midjourney_109.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_22f90822dccf21cc,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_11.png,ai/114_midjourney_11.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_ee97c9dbb8f2b648,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_110.png,ai/114_midjourney_110.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_4394318ea5734f9d,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_111.png,ai/114_midjourney_111.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_974c67e72a824c41,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_112.png,ai/114_midjourney_112.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
img_67b4cc50a2063772,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage/MidJourney/train/ai/114_midjourney_113.png,ai/114_midjourney_113.png,MidJourney,midjourney_4class_train,train,ai,114,0,1
