image_id,path,relative_path,archive_path,internal_path,generator,subset_name,split,class_name,content_id,content_label,imagenet_id,wordnet_id,is_real,y_ai
BigGAN_ai_000_000000,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00037.png,BigGAN/train/ai/000_biggan_00037.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00037.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000001,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00007.png,BigGAN/train/ai/000_biggan_00007.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00007.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000002,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00086.png,BigGAN/train/ai/000_biggan_00086.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00086.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000003,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00077.png,BigGAN/train/ai/000_biggan_00077.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00077.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000004,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00070.png,BigGAN/train/ai/000_biggan_00070.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00070.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000005,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00047.png,BigGAN/train/ai/000_biggan_00047.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00047.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000006,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00034.png,BigGAN/train/ai/000_biggan_00034.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00034.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000007,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00171.png,BigGAN/train/ai/000_biggan_00171.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00171.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000008,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00030.png,BigGAN/train/ai/000_biggan_00030.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00030.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
BigGAN_ai_000_000009,/home/nanda/folder belajar/TA-2026/nr_iqa_genimage_scaffold/data/raw/genimage_multiclass_balanced/genimage/BigGAN/train/ai/000_biggan_00184.png,BigGAN/train/ai/000_biggan_00184.png,/content/drive/MyDrive/BigGAN/imagenet_ai_0419_biggan.zip,imagenet_ai_0419_biggan/train/ai/000_biggan_00184.png,BigGAN,biggan_midjourney_multiclass_train,train,ai,000,tench,0,n01440764,False,1
