image_id,fft_mag_mean,fft_phase_mean,fft_phase_cos_mean,fft_phase_sin_mean
img_61f7a0ac9289eee0,2247.1953125,0.00038349488750100136,0.0064195385202765465,4.656612873077393e-10
img_d15fc26bf3ecd1e4,2507.2763671875,0.0003834962844848633,-0.009763083420693874,-4.656612873077393e-10
img_5832931017720fa2,2687.847412109375,0.00019174441695213318,0.02008029818534851,9.313225746154785e-10
img_92b856d1879721e2,986.6962280273438,0.0001917462795972824,0.0072715734131634235,2.3283064365386963e-10
img_03c914ec118361f8,2820.8447265625,0.0003834962844848633,-0.019266311079263687,0.0
img_0b20b62391f1beef,2553.83740234375,0.00019174674525856972,-0.003386596217751503,8.731149137020111e-10
img_9a2060d0dc3fc964,2825.42724609375,0.00019174814224243164,0.025933967903256416,-4.656612873077393e-10
img_ce5a48c7dfb4ed75,2427.705078125,0.00019175000488758087,0.01673184707760811,0.0
img_098db24fe391a2f4,2822.4794921875,0.0001917509362101555,0.009010381996631622,0.0
img_46c0edbcb255f88e,3026.9853515625,0.0001917453482747078,0.022489741444587708,-3.4924596548080444e-10
img_8c50776293539141,1501.4652099609375,0.0003834962844848633,-0.007803287357091904,0.0
img_97e77c91c17d4d4b,3365.88037109375,0.0,0.011435949243605137,9.313225746154785e-10
img_d3ea1c20b5bfc9aa,2231.8115234375,0.0,0.021573878824710846,0.0
img_0befcf5066610eb3,2610.454345703125,0.00038349442183971405,-0.021984325721859932,0.0
img_5d09f3136b3e8c3a,2385.94287109375,0.00019174674525856972,0.0010176269570365548,3.4924596548080444e-10
img_af3494d9f6349543,2419.97119140625,0.00019174814224243164,0.007308651693165302,-9.313225746154785e-10
img_8e26e6a3cb593ef5,2091.11083984375,0.0003834972158074379,0.010897187516093254,-1.3969838619232178e-09
img_7380bb09cedd1993,3046.72705078125,0.0001917488407343626,-0.006229274440556765,4.656612873077393e-10
img_ba2e1beb06a8a124,3110.515869140625,0.00038349349051713943,0.008519609458744526,-1.1641532182693481e-09
img_a0c9d63ea78dba06,3402.659423828125,0.00038349535316228867,0.017089758068323135,4.656612873077393e-10
img_f043031cfeb76084,1488.800537109375,0.00038350000977516174,0.06470564752817154,-1.862645149230957e-09
img_548af54cb473e292,2006.562255859375,0.0005752444267272949,0.012004758231341839,4.656612873077393e-10
img_13af0e7a2eb8e9b7,2423.9365234375,0.00038349442183971405,0.011876126751303673,1.1641532182693481e-10
img_c585e7aa63f201eb,3206.621826171875,0.00038349442183971405,0.014605360105633736,0.0
img_447c925f6c947b3e,2719.3857421875,0.00019174860790371895,0.02308693528175354,4.656612873077393e-10
img_b7f268a73884cbf9,2680.389404296875,0.00019174814224243164,0.0043668607249855995,4.656612873077393e-10
img_2a2cd32eed9ac123,2469.27392578125,0.0003834967501461506,-0.0017681812169030309,-9.313225746154785e-10
img_20c1695a25e7d0ee,2637.8193359375,0.0001917462795972824,0.018784215673804283,9.313225746154785e-10
img_74b68745b7e7ac40,2454.32568359375,0.00019174721091985703,0.021361369639635086,-4.656612873077393e-10
img_9ba03a8bbb29f694,1394.2332763671875,0.00019174907356500626,-0.014743000268936157,-1.1641532182693481e-10
img_2c7a370771f0e1e6,3129.319580078125,0.00019174907356500626,0.024307038635015488,6.984919309616089e-10
img_24afd590e66e3593,2540.4912109375,0.00019174814224243164,-0.011558786034584045,-1.862645149230957e-09
img_eb6153b6361ded39,2761.6083984375,0.00019174721091985703,0.01862768456339836,4.656612873077393e-10
img_4278d65a2b8b3b59,2959.69140625,0.00038349395617842674,-0.006321101449429989,6.984919309616089e-10
img_0ee528c0161e33d2,3644.182861328125,0.00019174814224243164,-0.006838362663984299,9.313225746154785e-10
img_fe3f1b316bb21aa6,2845.919921875,0.0001917462795972824,-0.003398141823709011,-4.656612873077393e-10
