image_id,fft_mag_mean,fft_phase_mean,fft_phase_cos_mean,fft_phase_sin_mean
img_ffc2620c17d11333,2417.653076171875,6.208817349140361e-10,-0.00486708851531148,-1.0865429667106241e-09
img_badfa860935d9a9f,2405.91259765625,0.000681769335642457,0.007888519205152988,0.0
img_e316109ff5625880,2389.330322265625,-0.0006817682879045606,0.015924282371997833,-4.1392114735749885e-10
img_dd506c3924aa20e5,2392.153076171875,0.00034088309621438384,0.0031484635546803474,3.1044086745701804e-10
img_3746bfe3561eb8bc,2392.767822265625,1.6556845894299954e-09,-0.001482172985561192,0.0
img_3be71546db378164,2398.106689453125,-1.6556845894299954e-09,-0.0006898295832797885,5.174014550135553e-10
img_2e4a76acdc8c7308,1533.53759765625,-8.278422947149977e-10,0.006569286808371544,8.278422947149977e-10
img_79fa2252d8f8caea,1547.14453125,-7.243620148145169e-10,0.012912500649690628,6.208817349140361e-10
img_9dcf6b8125be50fa,1551.781494140625,0.0006817711982876062,0.0023475768975913525,0.0
img_7ae6a55f1708eabb,1534.8118896484375,0.00034088268876075745,0.003447900293394923,4.1392114735749885e-10
img_cb0e0822f70723db,1540.6500244140625,-0.0003408864140510559,-0.000896588375326246,8.278422947149977e-10
img_6c2cc3bc6316e8ea,1531.81689453125,-0.0006817703251726925,0.0038475580513477325,0.0
img_cef8ae9cc782e0b9,2673.395751953125,3.725290298461914e-09,0.013563599437475204,-2.0696057367874943e-10
img_34215c87c546742f,2707.87744140625,0.00034088807296939194,0.013019206002354622,-6.208817349140361e-10
img_c6ceba58bb641719,1823.730224609375,-1.6556845894299954e-09,-0.0005011279135942459,-9.830627423212945e-10
img_f5ec7a1b2a24d09a,1839.507568359375,0.0003408839402254671,0.010134776122868061,9.313225746154785e-10
